@timestamp,@message,@initDuration
2022-04-08 04:16:39.444,"REPORT RequestId: cfbab430-2bc5-4026-9ac3-ab36efeaed22	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 04:11:38.777,"REPORT RequestId: 5d21498e-6a47-4e21-bd4a-7d633f5aca46	Duration: 1.58 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 04:06:38.381,"REPORT RequestId: 276f4f3f-9e11-44c7-9da5-babf16b94e2a	Duration: 1.86 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 04:01:37.985,"REPORT RequestId: 6cd3d2dd-d829-45e0-b307-8d6b0ffff167	Duration: 1.64 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 03:56:37.546,"REPORT RequestId: 377a8fe3-a9bd-4fe0-9f4b-4c594cb9eb40	Duration: 1.46 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 03:51:37.157,"REPORT RequestId: 0e63f141-bce7-455c-9f9d-cf375ce13b8f	Duration: 1.72 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 78 MB	
",
2022-04-08 03:46:36.764,"REPORT RequestId: cedf085a-fe29-4ed5-9f6e-3d541b155ffe	Duration: 228.97 ms	Billed Duration: 229 ms	Memory Size: 256 MB	Max Memory Used: 77 MB	
",
2022-04-08 03:41:36.160,"REPORT RequestId: 73d6c450-b9a1-4a3a-90b4-7faf76715c41	Duration: 1.80 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:36:35.752,"REPORT RequestId: 0f3cf4c3-19c2-4a93-b739-4befa345c9a0	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:31:35.356,"REPORT RequestId: dde99c03-a5e8-4d6b-851c-d3b21d0f49b5	Duration: 1.84 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:26:34.961,"REPORT RequestId: b20d646a-6f73-4d87-b4ba-8d6ad40ddcd6	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:21:34.559,"REPORT RequestId: 9d7e977f-fdbe-44ad-b892-bd3d1a1044ca	Duration: 1.72 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:16:34.161,"REPORT RequestId: 5c75ade7-ad29-4448-914e-a365906d1169	Duration: 1.69 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:11:33.757,"REPORT RequestId: cc565dc2-1bf5-465a-8e62-7e8277092ded	Duration: 1.67 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:06:33.356,"REPORT RequestId: fc1b3510-6971-482d-85b8-3ed9b682aa99	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 03:01:32.957,"REPORT RequestId: 60c2b426-533b-4595-baa1-b81234d132bd	Duration: 1.73 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 76 MB	
",
2022-04-08 02:56:32.550,"REPORT RequestId: 4dda9044-1b68-4ecc-b3e9-5220bc30cc94	Duration: 1.70 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 75 MB	
",
2022-04-08 02:51:32.153,"REPORT RequestId: ae9e55ec-360e-4c99-9a35-7391a32e6401	Duration: 1.94 ms	Billed Duration: 2 ms	Memory Size: 256 MB	Max Memory Used: 75 MB	
",
