@timestamp,@message,@initDuration
2022-04-08 13:19:57.058,"REPORT RequestId: f4356734-c4e5-45ca-9a6d-526aaf99bd6d	Duration: 1.39 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 79 MB	
",
2022-04-08 13:15:56.665,"REPORT RequestId: eb8aed2d-62c5-4e40-9a6e-46ae785dd979	Duration: 1.42 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 79 MB	
",
2022-04-08 13:11:56.264,"REPORT RequestId: 709104b6-b23d-4349-8190-b035c0e3883b	Duration: 1.48 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 79 MB	
",
2022-04-08 13:07:55.878,"REPORT RequestId: 2c4c98d7-9bba-479f-a6d7-f495667425c4	Duration: 1.53 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 79 MB	
",
2022-04-08 13:03:55.489,"REPORT RequestId: cdbf0c3c-5875-4b50-845a-833a4d87a03e	Duration: 52.34 ms	Billed Duration: 53 ms	Memory Size: 1024 MB	Max Memory Used: 79 MB	Init Duration: 555.66 ms	
",555.66
2022-04-08 12:59:55.050,"REPORT RequestId: fe378e37-c84c-4193-8142-19488b53218f	Duration: 1.40 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 80 MB	
",
2022-04-08 12:55:54.663,"REPORT RequestId: 6a095888-21d7-4a16-b182-43c0346c96c8	Duration: 1.41 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 80 MB	
",
2022-04-08 12:51:54.269,"REPORT RequestId: 2ae3a32a-6f63-450e-a4f8-b6a5bc93931f	Duration: 1.64 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 80 MB	
",
2022-04-08 12:47:53.880,"REPORT RequestId: 6f0f852d-289e-432e-8112-e387d1499254	Duration: 1.69 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 80 MB	
",
2022-04-08 12:43:53.487,"REPORT RequestId: cbe9c74a-84bb-459f-8984-0dd59549ca2b	Duration: 1.55 ms	Billed Duration: 2 ms	Memory Size: 1024 MB	Max Memory Used: 80 MB	
",
