@timestamp,@message,@initDuration
2022-04-07 04:28:23.004,"REPORT RequestId: a48604f5-8ea1-4132-8f2e-39a9d5e80210	Duration: 1.84 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:24:22.619,"REPORT RequestId: 47746cca-68ee-4ee4-9724-4029ad9206bd	Duration: 1.52 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:20:22.227,"REPORT RequestId: 6ffc483d-48dc-4dc4-aecf-e954d4ad267b	Duration: 1.52 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:16:21.838,"REPORT RequestId: 1e118688-3880-4375-991f-fdf1fea973f4	Duration: 1.62 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:12:21.445,"REPORT RequestId: 2a5cfbf5-82c2-4aa7-b110-a58da6baedaa	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:08:21.060,"REPORT RequestId: 5d81e51a-5e58-45a1-affd-06504b72e3b5	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:04:20.669,"REPORT RequestId: e6041de6-a0bb-4edc-97e4-b078904cc36a	Duration: 1.58 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:00:20.280,"REPORT RequestId: b0a1dc59-a026-48bc-aa3a-1692dfd500f3	Duration: 5.93 ms	Billed Duration: 6 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:56:19.873,"REPORT RequestId: c6ea28a9-bdfc-42f6-8440-4a4db9bedd2d	Duration: 1.54 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:52:19.487,"REPORT RequestId: f0505db4-30f3-41af-b611-73dc1de8c945	Duration: 1.93 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:48:19.116,"REPORT RequestId: 8178aa4a-9a4f-411e-a3d5-87c806d4aac7	Duration: 101.26 ms	Billed Duration: 102 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:44:18.638,"REPORT RequestId: b26be586-d8bb-4c48-b49d-5d42655d0477	Duration: 19.30 ms	Billed Duration: 20 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:40:18.201,"REPORT RequestId: 7c024caf-7807-4064-9015-3641bbe833c9	Duration: 1.72 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 03:36:17.812,"REPORT RequestId: 565d1d14-bc59-437f-b934-6bd4b101abf4	Duration: 1.95 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:32:17.424,"REPORT RequestId: 1477b3c5-d7d8-4e03-aaad-35aa1d1f4ba5	Duration: 1.61 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:28:17.040,"REPORT RequestId: 6dc3694e-4a1a-4509-a451-25cfdb627a89	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:24:16.653,"REPORT RequestId: d76e48a7-02e7-4bcc-9780-dc3c821751df	Duration: 1.55 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:20:16.256,"REPORT RequestId: aa2bdcf4-38d3-4516-9b0e-f40e75f13a7c	Duration: 1.89 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:16:15.868,"REPORT RequestId: a36b37b7-fd70-4e2b-9986-08d16efb1209	Duration: 1.57 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
