@timestamp,@message,@initDuration
2022-04-07 04:27:20.366,"REPORT RequestId: bc81a001-ecb6-4c02-88dc-e26f5b6f1d2b	Duration: 1.73 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:22:19.995,"REPORT RequestId: 8984348b-ca7a-4e95-9f01-b15311a9f0d6	Duration: 107.85 ms	Billed Duration: 108 ms	Memory Size: 512 MB	Max Memory Used: 77 MB	
",
2022-04-07 04:17:19.485,"REPORT RequestId: c1118775-55a7-4976-9ca0-306e2ab5814c	Duration: 1.74 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 04:12:19.087,"REPORT RequestId: 739aef3b-c1ce-4da9-b6a3-d9b0f24278a1	Duration: 1.72 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 04:07:18.679,"REPORT RequestId: fdd6730f-1304-4662-afbe-25f30e89b35d	Duration: 3.33 ms	Billed Duration: 4 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 04:02:18.275,"REPORT RequestId: 6ce17d19-f3e2-48ab-a30f-b2a90bb895c1	Duration: 1.57 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:57:17.880,"REPORT RequestId: b854cbc1-2c50-4a96-844d-9a9a5a352944	Duration: 1.65 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 76 MB	
",
2022-04-07 03:52:17.486,"REPORT RequestId: d2dbb3d6-01da-49b4-9ce4-b9fd080501b4	Duration: 1.59 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:47:17.092,"REPORT RequestId: 63036cfd-fb58-4056-b174-c3968ec0d4b4	Duration: 1.72 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:42:16.697,"REPORT RequestId: ec2b06a5-3628-45fc-972f-19b9f783c471	Duration: 1.58 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:37:16.300,"REPORT RequestId: 66b056db-6ff0-412b-8720-3f2899698dc8	Duration: 1.71 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:32:15.892,"REPORT RequestId: b970a75c-d43a-4170-9d3a-b5e338b32d1d	Duration: 1.74 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:27:15.493,"REPORT RequestId: 59f511f4-ecb7-4ab5-8258-13719966f1e9	Duration: 1.68 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:22:15.091,"REPORT RequestId: 4ca7c817-84da-438d-8e4c-6def0925aada	Duration: 1.67 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:17:14.694,"REPORT RequestId: de1217a7-1d7e-436e-8a82-48408c4ff53a	Duration: 1.86 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
2022-04-07 03:12:14.296,"REPORT RequestId: f9cb9b81-4a4e-4b4b-9054-112e61bcca8d	Duration: 1.76 ms	Billed Duration: 2 ms	Memory Size: 512 MB	Max Memory Used: 75 MB	
",
