@timestamp,@message,@initDuration
2022-04-08 21:00:18.579,"REPORT RequestId: a221f57a-17c1-4e28-90a9-b8e82bddb52a	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:55:18.174,"REPORT RequestId: c0e52339-4ab7-4d9a-862a-63a6b4e78956	Duration: 1.64 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:50:17.771,"REPORT RequestId: fecf0508-2c73-441f-8a79-c1e35358430a	Duration: 1.62 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:45:17.356,"REPORT RequestId: 5c751027-d387-42cb-9972-abbb0b158a29	Duration: 1.82 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:40:16.954,"REPORT RequestId: 1c2e8bf1-dc3b-403c-921f-8e307b13b333	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:35:16.550,"REPORT RequestId: e3072f91-1c9c-4929-9b8a-db67101ef469	Duration: 1.93 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:30:16.139,"REPORT RequestId: 7c4011a6-7a3b-4b3b-9a78-821fa5ab0ac7	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:25:15.733,"REPORT RequestId: 449be90a-8e51-4228-a458-c260122fb823	Duration: 2.16 ms	Billed Duration: 3 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:20:15.318,"REPORT RequestId: 458b0d0d-8cfd-4c06-a1a4-ac3924143881	Duration: 1.69 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
2022-04-08 20:15:14.916,"REPORT RequestId: 883054ac-a44b-4ebe-87f0-711eb8269346	Duration: 33.14 ms	Billed Duration: 34 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	Init Duration: 704.05 ms	
",704.05
