@timestamp,@message,@initDuration
2022-04-08 21:01:22.330,"REPORT RequestId: ee2f681f-cc97-41ec-b4a1-819da40f7c21	Duration: 2.22 ms	Billed Duration: 3 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:57:21.909,"REPORT RequestId: 56fbc1fc-bf5e-4d2d-8d9b-f2fa02ccab43	Duration: 1.75 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:53:21.521,"REPORT RequestId: ecc9777c-371f-414c-b9e0-006e86fb6f23	Duration: 1.61 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:49:21.132,"REPORT RequestId: 916f7121-7b1b-4bc0-9b7e-822f2a233661	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:45:20.748,"REPORT RequestId: f224c7b4-51e9-4365-a804-0693dc276970	Duration: 1.63 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:41:20.349,"REPORT RequestId: 891beb2c-d5c5-4fd9-9f9f-d26605e33497	Duration: 1.61 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:37:19.946,"REPORT RequestId: 1450d4f6-868c-41c5-8710-5ec055da2e85	Duration: 1.52 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:33:19.548,"REPORT RequestId: 68b7d729-6bc7-4ac2-99da-532b7cbcee6b	Duration: 1.85 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:29:19.151,"REPORT RequestId: 9d49de42-22e4-4b30-ab40-8274d4172d2a	Duration: 25.22 ms	Billed Duration: 26 ms	Memory Size: 2048 MB	Max Memory Used: 90 MB	
",
2022-04-08 20:25:18.698,"REPORT RequestId: 2e2414f4-3260-43af-b75e-6ad5417fd348	Duration: 1.57 ms	Billed Duration: 2 ms	Memory Size: 2048 MB	Max Memory Used: 89 MB	
",
