@timestamp,@message,@initDuration
2022-04-07 23:47:39.867,"REPORT RequestId: d8e684d0-f1f2-4e6b-852d-bd58c453d962	Duration: 593.37 ms	Billed Duration: 594 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 664.98 ms	
",664.98
2022-04-07 23:41:38.106,"REPORT RequestId: 3c296e60-95ce-4f9b-a53c-aa8816c9bca5	Duration: 552.56 ms	Billed Duration: 553 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 641.60 ms	
",641.6
2022-04-07 23:35:36.454,"REPORT RequestId: 816f0f59-1d65-4663-ba9f-ae923dc93b31	Duration: 655.02 ms	Billed Duration: 656 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 759.25 ms	
",759.25
2022-04-07 23:29:34.576,"REPORT RequestId: 8c6e1226-8ec7-467f-85c1-17aafb3bf778	Duration: 551.38 ms	Billed Duration: 552 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 642.93 ms	
",642.93
2022-04-07 23:23:32.888,"REPORT RequestId: 5ac825fd-5694-411f-8d93-c984a25ea1a9	Duration: 553.42 ms	Billed Duration: 554 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 678.07 ms	
",678.07
2022-04-07 23:17:31.190,"REPORT RequestId: 4919a873-ecec-435a-8cf7-99b6c009d0be	Duration: 577.06 ms	Billed Duration: 578 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 653.49 ms	
",653.49
2022-04-07 23:11:29.488,"REPORT RequestId: 10e62971-b8ec-4d86-a462-25261de352d6	Duration: 611.95 ms	Billed Duration: 612 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 680.59 ms	
",680.59
2022-04-07 23:05:27.718,"REPORT RequestId: b640cb2f-27a2-4c65-9dbe-e5751cb40816	Duration: 574.58 ms	Billed Duration: 575 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 683.48 ms	
",683.48
2022-04-07 22:59:25.992,"REPORT RequestId: 367a81c1-529b-4890-af10-ade3eae1de8e	Duration: 609.06 ms	Billed Duration: 610 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 688.87 ms	
",688.87
2022-04-07 22:53:24.187,"REPORT RequestId: 779291d4-4b05-4935-a285-53332e989925	Duration: 577.24 ms	Billed Duration: 578 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 689.65 ms	
",689.65
2022-04-07 22:47:22.414,"REPORT RequestId: 20d193f1-a5ac-4187-a316-c2fd8cded468	Duration: 613.49 ms	Billed Duration: 614 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 756.57 ms	
",756.57
2022-04-07 22:41:20.554,"REPORT RequestId: bf7e6441-103c-4ce0-a373-5c03d8f8e2e5	Duration: 697.75 ms	Billed Duration: 698 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 680.61 ms	
",680.61
2022-04-07 22:35:18.685,"REPORT RequestId: 2fb9a1a7-5609-43b1-90ae-495af6f8d2c9	Duration: 632.96 ms	Billed Duration: 633 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 665.42 ms	
",665.42
2022-04-07 22:29:16.902,"REPORT RequestId: baac895d-4c11-4fe7-810f-378aca62899f	Duration: 569.45 ms	Billed Duration: 570 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 688.77 ms	
",688.77
2022-04-07 22:23:15.123,"REPORT RequestId: 601164ab-694c-482e-b3b5-d584e03e5f58	Duration: 583.82 ms	Billed Duration: 584 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 741.97 ms	
",741.97
