@timestamp,@message,@initDuration
2022-04-07 23:48:56.762,"REPORT RequestId: 14707c07-06cb-4cbc-88fc-4cde57edd463	Duration: 1.56 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:44:56.369,"REPORT RequestId: 6f88da71-c9b5-4e54-a6e5-8223c88c1629	Duration: 1.50 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:40:55.977,"REPORT RequestId: 937751ba-d03c-4f41-b36a-5f6e1635c3ac	Duration: 1.41 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:36:55.529,"REPORT RequestId: dd4dedbf-5637-4e00-b89d-ae82f0d890a3	Duration: 1.46 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:32:55.146,"REPORT RequestId: 6829b3d2-4ff3-4a61-bb7e-171b889eaec2	Duration: 1.67 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:28:54.757,"REPORT RequestId: 11612437-b95d-43ac-ae50-2adf5ab2b0f6	Duration: 1.47 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	
",
2022-04-07 23:24:54.361,"REPORT RequestId: 88f125ab-deb6-4695-8a95-4a27e6ddd54e	Duration: 1.56 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:20:53.966,"REPORT RequestId: 833ac4f1-72f8-4be9-90bb-3efed38d5975	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:16:53.562,"REPORT RequestId: 0b83146a-38ab-4d4d-8eb4-c4ac7834ed8c	Duration: 1.68 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:12:53.171,"REPORT RequestId: 33c431ca-6c51-46fc-b388-66181753b608	Duration: 1.45 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:08:52.785,"REPORT RequestId: aa2f7512-1c6c-463b-8440-d9fa5b974a57	Duration: 1.59 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:04:52.406,"REPORT RequestId: 682e17f1-864c-42a8-a478-80a72f5b6ad6	Duration: 9.96 ms	Billed Duration: 10 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 23:00:52.080,"REPORT RequestId: f474aebb-2585-41cd-ba93-0825122795ea	Duration: 618.57 ms	Billed Duration: 619 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
",
2022-04-07 22:56:51.094,"REPORT RequestId: cd75652b-03e8-4b31-a99b-d33250f19060	Duration: 25.20 ms	Billed Duration: 26 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
",
2022-04-07 22:52:50.669,"REPORT RequestId: 3530b657-a271-4d88-acbc-1107dc60ab73	Duration: 21.37 ms	Billed Duration: 22 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
",
2022-04-07 22:48:50.222,"REPORT RequestId: 00036ee9-7190-4953-9250-f3ce7b9d191a	Duration: 20.18 ms	Billed Duration: 21 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
",
