@timestamp,@message,@initDuration
2022-04-07 23:45:21.871,"REPORT RequestId: bc87e307-4046-4524-9f0c-ed388f21d73f	Duration: 585.71 ms	Billed Duration: 586 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 703.58 ms	
",703.58
2022-04-07 23:37:20.123,"REPORT RequestId: a56c662d-408b-4daa-96f7-b5e036eda73d	Duration: 556.49 ms	Billed Duration: 557 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 677.47 ms	
",677.47
2022-04-07 23:29:18.468,"REPORT RequestId: 948972d9-e7cb-4f9d-b3d6-1540dd109d88	Duration: 552.69 ms	Billed Duration: 553 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 577.98 ms	
",577.98
2022-04-07 23:21:16.855,"REPORT RequestId: bbc3b19f-de55-4e02-8237-19f88063173b	Duration: 631.98 ms	Billed Duration: 632 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 702.09 ms	
",702.09
2022-04-07 23:13:14.930,"REPORT RequestId: 0b2f8e69-7e65-4cb0-9e32-5dfa63e7b3b5	Duration: 616.60 ms	Billed Duration: 617 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 637.68 ms	
",637.68
2022-04-07 23:05:13.204,"REPORT RequestId: 91e246b8-7436-4d33-b728-c1d191bb6dbd	Duration: 574.05 ms	Billed Duration: 575 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 652.40 ms	
",652.4
2022-04-07 22:57:11.512,"REPORT RequestId: 452b1613-9bac-480b-96e6-481adf583621	Duration: 606.88 ms	Billed Duration: 607 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 715.16 ms	
",715.16
2022-04-07 22:49:09.704,"REPORT RequestId: 4be0d6d1-5cdc-4a38-9b25-66658eb18507	Duration: 598.52 ms	Billed Duration: 599 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 675.68 ms	
",675.68
2022-04-07 22:41:07.939,"REPORT RequestId: 55b786c1-8859-4890-9ce3-f8a603f94d08	Duration: 573.44 ms	Billed Duration: 574 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 687.88 ms	
",687.88
2022-04-07 22:33:06.162,"REPORT RequestId: a6b73a11-81e7-4cbf-b8b1-e5c09a5a8ea9	Duration: 531.12 ms	Billed Duration: 532 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 551.42 ms	
",551.42
